Angle,PA,PA_filtered
-180.0,,
-179.64809384164224,-76.82922900510482,-76.82922900510482
-179.29618768328447,,
-178.94428152492668,,
-178.59237536656892,,
-178.24046920821115,,
-177.88856304985336,,
-177.5366568914956,,
-177.18475073313783,,
-176.83284457478007,,
-176.4809384164223,,
-176.1290322580645,,
-175.77712609970675,,
-175.42521994134898,,
-175.0733137829912,,
-174.72140762463343,3.312632239856037,3.312632239856037
-174.36950146627566,,
-174.0175953079179,,
-173.66568914956014,,
-173.31378299120234,,
-172.96187683284458,,
-172.60997067448682,,
-172.25806451612902,,
-171.90615835777126,,
-171.5542521994135,,
-171.20234604105573,,
-170.85043988269797,,
-170.49853372434018,,
-170.1466275659824,,
-169.79472140762465,,
-169.44281524926686,,
-169.0909090909091,,
-168.73900293255133,,
-168.38709677419357,,
-168.0351906158358,,
-167.683284457478,,
-167.33137829912022,,
-166.97947214076245,,
-166.6275659824047,,
-166.27565982404693,,
-165.92375366568913,,
-165.57184750733137,,
-165.2199413489736,,
-164.86803519061584,,
-164.51612903225805,,
-164.1642228739003,,
-163.81231671554252,,
-163.46041055718476,,
-163.10850439882697,,
-162.7565982404692,,
-162.40469208211144,,
-162.05278592375367,,
-161.70087976539588,,
-161.34897360703812,,
-160.99706744868035,,
-160.6451612903226,,
-160.2932551319648,,
-159.94134897360703,,
-159.58944281524927,,
-159.2375366568915,,
-158.88563049853371,,
-158.53372434017595,,
-158.1818181818182,,
-157.82991202346042,,
-157.47800586510263,,
-157.12609970674487,,
-156.7741935483871,,
-156.42228739002934,,
-156.07038123167155,,
-155.71847507331378,,
-155.36656891495602,,
-155.01466275659826,,
-154.66275659824046,,
-154.3108504398827,,
-153.95894428152494,,
-153.60703812316717,,
-153.25513196480938,,
-152.90322580645162,,
-152.55131964809385,,
-152.1994134897361,,
-151.8475073313783,,
-151.49560117302053,,
-151.14369501466277,,
-150.791788856305,,
-150.4398826979472,,
-150.08797653958945,,
-149.73607038123168,,
-149.38416422287392,,
-149.03225806451613,,
-148.68035190615834,,
-148.32844574780057,,
-147.9765395894428,,
-147.62463343108504,,
-147.27272727272725,,
-146.9208211143695,,
-146.56891495601172,,
-146.21700879765396,,
