PSR,P0,P-dot,Telescope,Freq(MHz),best_alpha,alpha_Upper_Error,alpha_Lower_Error,best_beta,beta_upper_Error,beta_lower_Error,best_phase_offset,phase_offset_upper_error,phase_offset_lower_error,best_psi_offset,psi_offset_upper_error,psi_offset_lower_error,best_chi_red,Chi_upper_error,Chi_lower_error,best_K,K_upper_error,K_lower_error,w10,w10_error,w10_center,SN_peak,L_I,σ_LI,V_I,σ_VI,absV_I,σ_absVI,rho,drho_up,drho_down,PW,W10_MH,all_alpha_range,category,exclusion_reasons
J0045-7042,0.63233580002,2.49e-15,MeerKAT,856-1712,104.4574090435696,60.19127106163039,74.92154554308712,3.710143508289793,0.4172181531787049,2.699236045726796,1.328701842701411,0.9733800632596769,1.3463859234504958,-34.69371177909026,17.25005214191444,15.212763435139683,1.268343423148892,0.7229577815827699,0.0329450993718554,-14.964438562430448,2.618723997852692,3.262394765532214,14.076246334310838,0.7635313110765102,-0.8797653958944274,13.751294335785808,0.3285754448461948,0.0228136609042175,0.0110518051937852,0.0194326851648215,0.126427843270218,0.0195789164654539,7.705054934546189,3.6597568808849488,2.629359510556645,6.783247297246861,10.654215039182342,135.11281660471752,D,[]
J0134-2937,0.13696161051365074,7.836990207406536e-17,MeerKAT,856-1712,170.60344154114208,6.365850463654823,9.17437061079167,-1.4716331517629522,1.000748269299387,1.456602032093918,-26.013361645180083,0.8679892617102141,1.1739523368595393,-10.76240285258107,2.2991171555455896,2.8471287705477177,4.924655990320633,0.2026617022824286,0.0007099525042555,6.357237595339896,0.0829255288850099,0.1664134731715236,31.671554252199407,0.1338780196272594,-10.733137829912025,229.92055895099384,0.4975698468305854,0.002199341849295,-0.2058902400606584,0.001627489247264,0.2067668137013997,0.0016278083236235,3.136682978082563,1.4223452933700085,2.500832074828435,31.11600094136776,29.004563991221136,15.540221074446492,A,[]
J0151-0635,1.464664549333674,4.425913626891812e-16,MeerKAT,856-1712,110.12719410785124,5.86679895718261,5.40573089554529,-5.688185335039647,0.3277365908992626,0.2674445951120541,11.825703985041857,0.1219735868555051,0.1011208468260758,36.64788885004551,0.3765309959480802,0.3381850872614294,3.687297768475966,0.1593363034356021,0.0005129085430848,9.473189545132016,0.2153249746560064,0.1906145141652562,42.9325513196481,1.4321221799334902,11.436950146627575,200.061548683318,0.3633637135730923,0.0017714543974818,0.0022959788150144,0.0013675628521817,0.071655135914617,0.0013718326716431,21.25083853487938,0.7462347741966172,0.5052647730963811,26.077903398531603,18.2622725545476,11.2725298527279,A,[]
J0304+1932,1.387584446262276,1.2952352836766373e-15,MeerKAT,856-1712,179.94684977348098,0.4286715256759237,5.560649635359283,0.0028909146783036,0.3017812438144744,0.0233292894566403,-3.742180739425893,0.0069682520248988,0.0068534039260059,-2.490870105683182,0.0796255472360103,0.0783748754403523,31.170837865206728,0.4278282239974302,0.0023378712837995,-18.385260318332065,0.0309516023185807,0.0280704012915258,24.98533724340176,1.3550948637448506,-4.222873900293262,1456.7221212942786,0.3658042401483603,0.0003299128638281,0.1247069600881904,0.0002370656919535,0.1256465968019403,0.0002371049508921,0.0116124972732695,0.3004010584180131,1.2078162382572166,10.604350827402428,8.046675565559454,5.989321161035207,A,[]
J0343-3000,2.5970272275189417,3.9118392438753377e-17,MeerKAT,856-1712,166.4808470499657,9.954022912498544,17.672004753403712,-3.5110417690076794,2.58262879020997,4.405588123799401,9.44255524515964,1.050768437560297,0.7985361958547941,76.01769160068021,2.8796907479629112,2.1257756639843564,2.290044855184788,0.1795155067314868,0.0061823485069814,3.8172270305441938,0.101152410130735,0.131997494847893,46.09970674486806,2.53869534221366,2.463343108504405,223.5605771230329,0.1689551127231585,0.002842643623734,0.0014934063962341,0.0023048138259281,0.0366304239790079,0.0023065345451013,6.9476782987460295,3.198418512509576,6.908086781123678,31.436690142520348,18.768068441640573,27.626027665902257,A,[]
J0452-1759,0.5489392232937018,5.753107046225423e-15,MeerKAT,856-1712,73.4957295809523,2.635913221806504,2.4083941854278947,-9.337957359692728,0.1089872914952874,0.0970991061810728,-3.259125640170667,0.0284998829202733,0.0287812123619901,-12.52863735834224,0.1219895286396894,0.1207875312498441,66.7089923096497,0.1515637758219696,0.0006669951710591,5.909114938335521,0.023326503035598,0.018145153385098,46.45161290322579,0.5360796316172972,-3.6950146627566056,2084.0355802830427,0.1815022092584735,0.0001543143858375,-0.0021296681329691,0.0001209327175478,0.0225101226663705,0.0001209651833197,23.53507561463609,0.3411555961732241,0.3478743366566227,23.845635904100263,13.456416881823474,5.044307407234399,A,[]
J0459-0210,1.1330771746565556,1.3982561557678189e-15,MeerKAT,856-1712,40.59926218285193,10.796321950281891,14.590983522369328,2.131354415865151,0.5250512334205224,0.746915867624101,-14.036906826207918,0.9296004087456976,1.1870376464122394,110.61617138838211,13.297292375975983,4.43039985715788,8.139768146594202,0.433388060276231,0.0006165892072722,-17.498101786141323,1.1297060711248506,1.215784113169157,15.83577712609971,1.1073694887829857,-4.22287390029326,255.2561124692284,0.1796571232843239,0.0022180455804843,-0.0653376209382764,0.0018166101379344,0.1212513828468186,0.0018267897125098,5.67523179301378,0.9823524988744684,1.517311379113905,17.02810917224897,16.6762030138912,25.38730547265122,A,[]
J0534-6703,1.81756503106,4.2505e-13,MeerKAT,856-1712,87.16708035923546,72.35114526415657,60.85911774956115,-7.247001278290972,4.873377394921027,0.6621272950153756,-1.7357417404502895,4.247485749388151,3.5723095300907763,-55.22139158076944,35.26344421528465,40.41627029793364,1.4242670777443491,1.5440244896598294,0.0271628252078546,7.917568479298656,1.3964432541926834,1.571027626174324,7.39002932551319,1.808017988934632,-0.7038123167155419,51.578391774777614,0.2558532073399855,0.0145384133967336,-0.0090192859095138,0.0118324599964047,0.1394265273189713,0.0119631566582766,8.122856401756385,3.8084049975689127,0.9496568958431256,4.375037928133572,4.726944086491343,133.21026301371774,D,[]
J0536-7543,1.2458562416893693,5.754004087540725e-16,MeerKAT,856-1712,142.52910043278862,1.1729776283121964,1.0510386731227186,2.2488254274045016,0.0512182674462553,0.0576917833263519,-10.642983964554842,0.0061173390995037,0.0059339172881962,16.786870496881146,0.0484983660199631,0.0548047802468012,119.5587494289,0.1471320006571375,0.0008558106161871,-15.503791374367689,0.037817211101748,0.0281610998512356,41.17302052785922,1.2167217220063713,-10.205278592375368,965.6496061751798,0.5120566121414102,0.0003725008558388,-0.1154253376432388,0.0002827839632649,0.1161094489076,0.0002828088848672,12.35940575398554,0.3363913970467017,0.2974964254276258,19.26468484432023,13.986092468953666,2.224016301434915,A,[]
J0543+2329,0.24597476889006475,1.5422691027959168e-14,MeerKAT,856-1712,31.0849122253252,0.7161521536167292,0.5940464984122755,8.382752005699315,0.1927677728965182,0.1609844878489195,19.580784477096696,0.2647781411254861,0.2387104761526011,-74.18451171359037,0.9917023745735918,1.1594124514458173,3.6454990651510215,0.1126778046885079,0.0002290373500968,-3.5415650463913813,0.0102316397564448,0.0084039160258151,61.58357771260998,0.240213625875869,6.686217008797657,1756.9867540218693,0.5258864409030508,0.0003422452007928,-0.1119500551186697,0.0002824744164432,0.1123586466638437,0.0002824850139625,19.429282096091,0.3086811581070313,0.257039370171798,45.093980958035104,28.202485356862084,1.3101986520290048,A,[]
J0555-7056,0.82783808575,5.96e-15,MeerKAT,856-1712,94.5310450223874,65.76475219353358,66.39363743842316,-6.547858857923623,4.503905410982946,0.5210982282560712,7.317344709641455,2.064677291370831,2.5346499649092635,33.4575103031372,13.551716500813754,15.055090012420369,1.671172810542796,0.5645090769529633,0.0193897214844107,8.741976498500254,1.537741626382891,1.5647642314098107,15.13196480938415,0.8973350310230473,4.574780058651022,20.76039966475073,0.2431465429716525,0.0211632643946705,-0.0490072180456971,0.0163833833254535,0.1041945186260525,0.0164524142840632,10.001427825219247,3.571814593446262,2.756016938693115,8.197110105535883,10.308547055682508,132.15838963195674,D,[]
J0614+2229,0.33495996611057016,5.944943926843433e-14,MeerKAT,856-1712,8.736860363513808,7.439605988170717,6.184762060344671,-0.7887212343044729,0.5570989504477075,0.6538986740613972,7.551115400129908,0.0280265487056246,0.0565246684193683,106.36259091521752,0.4980537477065354,0.81425830830878,3.021905861815283,0.3074889842266231,0.0078290964389124,11.03471739794048,0.0467653033942703,0.0416446762307387,22.87390029325513,0.3271819702979474,-0.7038123167155508,474.51959680454894,0.7662942484590732,0.0010768175427973,0.1625929676674591,0.0007061705938324,0.1633105933201498,0.0007062692879501,1.833200039644404,1.374408018258852,0.9884352359484806,21.09950249690411,14.765191646464212,13.624368048515388,A,[]
