PSR,P0,P-dot,Telescope,Freq(MHz),best_alpha,alpha_Upper_Error,alpha_Lower_Error,best_beta,beta_upper_Error,beta_lower_Error,best_phase_offset,phase_offset_upper_error,phase_offset_lower_error,best_psi_offset,psi_offset_upper_error,psi_offset_lower_error,best_chi_red,Chi_upper_error,Chi_lower_error,best_K,K_upper_error,K_lower_error,w10,w10_error,w10_center,L_I,σ_LI,V_I,σ_VI,absV_I,σ_absVI,rho,drho_up,drho_down,PW,W10_MH,all_alpha_range,category
J0151-0635,1.464664549333674,4.425913626891812e-16,MeerKAT,856-1712,110.12719410785124,5.86679895718261,5.40573089554529,-5.688185335039647,0.3277365908992626,0.2674445951120541,11.825703985041857,0.1219735868555051,0.1011208468260758,36.64788885004551,0.3765309959480802,0.3381850872614294,3.687297768475966,0.1593363034356021,0.0005129085430848,9.473189545132016,0.2153249746560064,0.1906145141652562,36.24633431085044,1.4320453956038026,11.96480938416423,0.3633348652218312,0.0019450267466886,0.0025284299934275,0.0014097704079166,0.0718595735991957,0.001413785179515,18.20092729606501,0.6237190210105856,0.4243117763752138,26.077903398531603,18.2622725545476,11.2725298527279,A
J0452-1759,0.5489392232937018,5.753107046225423e-15,MeerKAT,856-1712,73.4957295809523,2.635913221806504,2.4083941854278947,-9.337957359692728,0.1089872914952874,0.0970991061810728,-3.259125640170667,0.0284998829202733,0.0287812123619901,-12.52863735834224,0.1219895286396894,0.1207875312498441,66.7089923096497,0.1515637758219696,0.0006669951710591,5.909114938335521,0.023326503035598,0.018145153385098,23.577712609970675,0.5360791334613328,-4.926686217008804,0.1814535040154431,0.0001558177816704,-0.0021596604591169,0.0001163166796055,0.0225535346760263,0.0001163489401785,14.408313769501714,0.1570151762864504,0.1564037593988474,23.845635904100263,13.456416881823474,5.044307407234399,A
J0459-0210,1.1330771746565556,1.3982561557678189e-15,MeerKAT,856-1712,40.59926218285193,10.796321950281891,14.590983522369328,2.131354415865151,0.5250512334205224,0.746915867624101,-14.036906826207918,0.9296004087456976,1.1870376464122394,110.61617138838211,13.297292375975983,4.43039985715788,8.139768146594202,0.433388060276231,0.0006165892072722,-17.498101786141323,1.1297060711248506,1.215784113169157,13.020527859237529,1.1073042500526773,-3.870967741935481,0.179509265894494,0.0022703442207889,-0.0655202299581027,0.00188514139301,0.1215010929189816,0.0018945126757102,4.821966944138247,0.8085255832033736,1.2149535759254817,17.02810917224897,16.6762030138912,25.38730547265122,A
J0536-7543,1.2458562416893693,5.754004087540725e-16,MeerKAT,856-1712,142.52910043278862,1.1729776283121964,1.0510386731227186,2.2488254274045016,0.0512182674462553,0.0576917833263519,-10.642983964554842,0.0061173390995037,0.0059339172881962,16.786870496881146,0.0484983660199631,0.0548047802468012,119.5587494289,0.1471320006571375,0.0008558106161871,-15.503791374367689,0.037817211101748,0.0281610998512356,27.096774193548384,1.2167173791368078,-10.205278592375368,0.5115584013638342,0.0003483521223799,-0.1154586311866551,0.0002738168729117,0.1162674527038518,0.0002738475830172,8.323693335385402,0.2168267758302494,0.1920123780474028,19.26468484432023,13.986092468953666,2.224016301434915,A
J0543+2329,0.24597476889006475,1.5422691027959168e-14,MeerKAT,856-1712,31.0849122253252,0.7161521536167292,0.5940464984122755,8.382752005699315,0.1927677728965182,0.1609844878489195,19.580784477096696,0.2647781411254861,0.2387104761526011,-74.18451171359037,0.9917023745735918,1.1594124514458173,3.679298338272028,0.1164067040197065,0.0002246689801621,-3.5415650463913813,0.0102316397564448,0.0084039160258151,23.225806451612883,0.2402139357809797,2.991202346041053,0.5258864409030508,0.0003447461824144,-0.1119500551186697,0.0002490992843177,0.1123586466638437,0.0002491122588779,10.704487626306015,0.1767559354672928,0.1466457864446013,45.093980958035104,28.202485356862084,1.3101986520290048,A
J0614+2229,0.33495996611057016,5.944943926843433e-14,MeerKAT,856-1712,8.736860363513808,7.439605988170717,6.184762060344671,-0.7887212343044729,0.5570989504477075,0.6538986740613972,7.551115400129908,0.0280265487056246,0.0565246684193683,106.36259091521752,0.4980537477065354,0.81425830830878,3.021905861815283,0.3074889842266231,0.0078290964389124,11.03471739794048,0.0467653033942703,0.0416446762307387,13.724340175953069,0.3271770550098486,-0.3519061583577709,0.7662942484590732,0.0010664812671178,0.1625929676674591,0.000836248463202,0.1633105933201498,0.0008363261663774,1.2688618308063155,0.7858731786617866,0.6366223648449021,21.09950249690411,14.765191646464212,13.624368048515388,A
J0627+0649,0.3465232908462588,1.697586640050596e-15,MeerKAT,856-1712,39.231651272999656,15.70788594177636,18.945908084437185,13.29126903908855,4.275819253345272,6.20041526946105,11.588359682655762,6.034476649101984,0.94831655127979,-10.56498285953884,2.647306657653946,18.421004308596423,1.0688672958576968,0.2386082172248811,0.021044685792954,-2.750993237677231,0.0567549425881361,0.0679456407715068,16.187683284457464,0.3386812972940404,5.102639296187679,0.7894692199626695,0.0030429046161192,-0.0239538208175955,0.0021476480338358,0.0276529507664496,0.0021478444914246,14.484754309520383,4.097887341861148,5.571433362215655,14.931468187054586,14.579562028696817,34.653794026213546,A
J0631+1036,0.28784107294900907,1.0273533936063281e-13,MeerKAT,856-1712,6.277018563445219,16.85887939259208,3.4112889419780363,0.8782301160572132,2.316515784182383,0.4751562081610843,11.872634376368437,0.2040269047273906,0.1090801922595083,25.299846198092283,0.837995464034254,1.4310606159818668,1.3309879163540612,0.2465215259518767,0.001641698993662,-7.133341175156224,0.1574034614447619,0.0916813504151834,25.33724340175951,0.2827219109556755,2.639296187683282,0.9237893369731628,0.0060635156680622,0.0727354548174993,0.004270703571219,0.1257946152039053,0.0042916276672714,1.7170661251124273,3.908837490662578,0.6258367237889263,25.069115314784867,21.901959889564907,20.27016833457012,A
J0633-2015,3.2532108384,3.82e-15,MeerKAT,856-1712,68.07344284641168,60.45423922516842,53.194607019086845,-0.8939696015850405,0.6447557676486599,0.0729270427101067,-2.0137339377772188,0.0339430000999174,0.0299548535086398,73.65644599684806,1.0462768200508066,0.919112841172904,4.930508954489834,1.44087411304558,0.1140400622759818,59.45766696399689,2.35541108350688,2.569877443891407,7.39002932551319,3.1921592805393693,-2.815249266862168,0.4255013293253243,0.0053562308642042,0.1125585707741073,0.0047109388824336,0.1267500520366041,0.0047177122256837,3.5317385236432983,0.4989396726220355,2.2487811286986124,2.541593175313875,4.496529991841544,113.64884624425528,C
J0646+0905,0.9039134709677942,7.36088960304038e-16,MeerKAT,856-1712,9.879068672752943,9.974300575358606,7.879004229796926,1.586338217163836,1.5651304830510278,1.2632618606543613,-5.038184547808424,0.1429338969254256,0.1439277304272668,62.14764575447369,1.241636301336122,1.1321566877680311,3.950198800684444,0.243728968063559,0.0192912061584715,-6.197573399293193,0.0588435372806515,0.0463926162557966,16.539589442815235,0.8831270081674786,0.7038123167155419,0.3689882763951659,0.0014318677264465,-0.0408679222615298,0.0010422431397668,0.0417319485722397,0.0010422815057531,2.2011827754213544,1.7466729776148064,0.9213245743975153,23.513257861591395,14.011791585931585,17.85330480515553,A
